oa11cd,x,y,lat,lon
E00041822,417229.453,564101.985,54.971233,-1.7323963
E00041912,421268.059,561008.822,54.943284,-1.6695318
E00041993,417782.698,561697.141,54.949611,-1.723906
E00041913,420843.525,560680.742,54.940354,-1.6761897
E00041992,417552.87,561691.858,54.949565,-1.7274972
E00041636,427771.097,562488.101,54.956265,-1.5678787
E00041820,415099.684,564554.974,54.975372,-1.7656452
E00041910,420494.934,562146.006,54.953542,-1.6815332
E00041991,417401.376,561831.986,54.950828,-1.7298463
E00041637,427490.687,561981.174,54.951725,-1.5723148
E00041821,415257.071,564599.668,54.975772,-1.7631744
E00041911,420964.074,561019.08,54.943396,-1.6742765
E00041990,417111.124,561865.216,54.951144,-1.734372
E00041634,427873.154,561542.024,54.947759,-1.5663775
E00041635,427891.334,561285.819,54.945448,-1.5661213
E00041632,423154.921,562219.452,54.954083,-1.6399944
E00041633,428123.407,561501.23,54.947376,-1.5624786
E00041630,422827.907,562269.982,54.954547,-1.6450962
E00041631,423135.211,562361.879,54.955359,-1.6402797
E00041828,416007.601,564348.031,54.973493,-1.7514713
E00041918,421384.387,561555.195,54.948194,-1.6676806
E00041999,418315.897,560923.869,54.942637,-1.7156336
E00041829,415406.01,564094.11,54.971229,-1.7608736
E00041919,421146.257,561580.216,54.948429,-1.6713944
E00041998,418424.232,561057.352,54.943837,-1.7139236
E00170010,423120.831,562594.329,54.957454,-1.6404952
E00170021,429256.425,562263.144,54.954159,-1.5447137
E00170024,429777.91,561835.726,54.950282,-1.536623
E00166216,426585.369,559421.554,54.928769,-1.5866805
E00170023,429631.926,562035.183,54.952088,-1.5388819
E00041638,428208.325,561802.747,54.950076,-1.5611222
E00170015,427278.097,556962.448,54.906636,-1.576099
E00041639,427436.222,561480.231,54.947226,-1.5732056
E00166219,424200.473,562632.093,54.957744,-1.6236274
E00166208,425327.893,562212.435,54.953915,-1.6060657
E00166190,424741.464,562487.416,54.956415,-1.6151919
E00041376,425862.486,562992.891,54.960896,-1.5976423
E00041374,425788.462,562963.054,54.960639,-1.5988005
E00041375,425975.573,563093.531,54.961798,-1.5958685
E00041372,426595.331,561958.564,54.951566,-1.5862907
E00041370,425931.349,563010.141,54.961054,-1.5965631
E00041371,426202.855,561984.965,54.951821,-1.5924242
E00041378,426158.786,562875.995,54.95983,-1.5930303
E00041556,413315.185,559982.231,54.934338,-1.793726
E00041466,418426.664,561993.759,54.952248,-1.7138327
E00041557,414017.633,560091.2,54.935298,-1.7827649
E00041467,418166.778,563258.054,54.963625,-1.7178126
E00041554,413657.438,562046.535,54.952876,-1.7882913
E00041464,418299.34,562493.726,54.956745,-1.7157839
E00041555,413423.058,561838.825,54.951013,-1.7919545
E00041465,418610.285,562223.601,54.954308,-1.710945
E00041552,414058.961,562152.214,54.953818,-1.782025
E00041462,418597.964,562444.913,54.956294,-1.7111337
E00041553,413746.635,562037.707,54.952793,-1.7869021
E00041463,418464.685,562366.033,54.955598,-1.7132155
E00041550,413327.922,562043.121,54.952858,-1.793444
E00041460,419498.123,562403.396,54.955891,-1.6970673
E00041551,414714.133,562328.286,54.95538,-1.7717731
E00041461,418072.183,562487.608,54.9567,-1.7193289
E00041876,424568.503,561457.846,54.947168,-1.617981
E00041926,421513.375,561327.975,54.94614,-1.6656836
E00041558,413791.249,559854.993,54.933175,-1.7863034
E00041468,418333.738,563307.26,54.964059,-1.7152013
E00041877,423794.796,561226.16,54.945129,-1.6300833
E00041927,420930.632,561491.359,54.947638,-1.674773
E00041559,414125.055,559478.642,54.929787,-1.7811092
E00041469,418642.926,563039.247,54.961639,-1.7103926
E00041874,424695.672,561676.035,54.94913,-1.6159796
E00041924,420473.157,561452.299,54.947307,-1.6819103
E00041875,425150.308,561632.774,54.948712,-1.6088799
E00041925,420662.355,561172.707,54.944783,-1.6789797
E00041872,424848.662,561693.115,54.949275,-1.6135895
E00041922,420117.55,561397.56,54.946827,-1.6874718
E00041873,425411.316,561639.731,54.948761,-1.6048046
E00041923,421416.491,561402.765,54.946818,-1.6671923
E00041646,427436.92,562655.513,54.957784,-1.5730938
E00041736,427535.833,560369.216,54.937237,-1.5717661
E00041870,425279.208,561756.026,54.949819,-1.6068551
E00041920,420409.643,561562.868,54.948298,-1.6829017
E00041647,427365.481,562410.271,54.955587,-1.5742257
E00041737,428563.319,560092.784,54.93469,-1.5557492
E00041871,425241.206,561659.81,54.94895,-1.6074569
E00041921,420618.389,561583.081,54.948478,-1.6796373
E00041644,428203.819,561365.203,54.94615,-1.561243
E00041734,427983.789,560453.851,54.937967,-1.5647659
E00041645,426936.688,562601.826,54.957326,-1.5809065
E00041735,428235.9,560316.36,54.936722,-1.5608461
E00041642,427267.693,561434.385,54.946822,-1.5758483
E00041732,428369.534,560336.63,54.936894,-1.5587528
E00041643,427971.933,561574.197,54.948041,-1.5648445
E00041733,427855.082,560427.202,54.93774,-1.5667662
E00041640,427518.338,561361.445,54.946152,-1.5719368
E00041730,428549.186,560930.76,54.942221,-1.5558847
E00041641,427734.482,561359.051,54.946122,-1.5685651
E00041731,427311.307,560563.918,54.938992,-1.5752438
E00041521,426577.681,558829.218,54.92345,-1.5868598
E00041471,417495.087,562891.736,54.960351,-1.7283145
E00042021,430162.455,561812.487,54.950052,-1.5306147
E00041846,425210.222,561338.01,54.946067,-1.6079689
E00041936,421294.854,560825.457,54.941638,-1.6691395
E00041528,426734.05,558519.475,54.920656,-1.584439
E00041478,415828.804,557938.131,54.915897,-1.7546183
E00041847,424972.004,561195.662,54.944794,-1.6116967
E00041937,421337.788,560668.158,54.940226,-1.6684799
E00042028,430186.776,561178.315,54.944354,-1.5303064
E00041529,426141.249,558517.347,54.920669,-1.5936906
E00041479,411907.882,557867.114,54.915367,-1.815787
E00041844,414242.029,563451.909,54.965486,-1.779088
E00041934,420303.951,560834.439,54.94176,-1.6846077
E00042029,430419.529,561274.271,54.945202,-1.5266591
E00041845,424970.311,561508.73,54.947606,-1.6117008
E00041935,421194.301,560618.802,54.939783,-1.6707156
E00041842,415731.561,563865.781,54.969161,-1.7558093
E00041932,420464.867,560951.885,54.942805,-1.6820863
