lat,lng
54.962829,-1.7964227
54.963691,-1.7910301
54.962731,-1.7918628
54.962077,-1.7875714
54.936896,-1.5471249
54.962834,-1.7942518
54.936095,-1.5444182
54.951135,-1.6051092
54.936302,-1.6798744
54.956648,-1.7672999
54.949658,-1.604343
54.935553,-1.6997329
54.954807,-1.7776943
54.945851,-1.6135443
54.937308,-1.6089125
54.938751,-1.6991315
54.946623,-1.6104145
54.936501,-1.6838372
54.945028,-1.6090874
54.936033,-1.6869624
54.94107,-1.5783283
54.932635,-1.5818342
54.881895,-1.5707474
54.941193,-1.6015852
54.926228,-1.5818694
54.885891,-1.567447
54.920624,-1.7455563
54.947005,-1.6146572
54.938505,-1.680216
54.941125,-1.5534773
54.95684,-1.6021176
54.920149,-1.7641717
54.942055,-1.5647061
54.92942,-1.5745956
54.956444,-1.6074307
54.936054,-1.5550474
54.93333,-1.577582
54.919253,-1.7433496
54.931578,-1.5624627
54.958585,-1.6081282
54.921834,-1.7572814
54.94106,-1.562672
54.933198,-1.5862606
54.963099,-1.6061165
54.939229,-1.5510009
54.934351,-1.5842511
54.962184,-1.6067189
54.922926,-1.7550905
54.95085,-1.6060644
54.934409,-1.6845715
54.949312,-1.6028164
54.933484,-1.688137
54.937238,-1.5545505
54.929221,-1.5846005
54.885144,-1.569497
54.92281,-1.7696482
54.939351,-1.5623784
54.929453,-1.5712714
54.884632,-1.5644833
54.921457,-1.8137153
54.903941,-1.5664271
54.953883,-1.5405633
54.954781,-1.5830098
54.959981,-1.611769
54.952459,-1.6088124
54.953306,-1.6096785
54.955058,-1.6068509
54.93389,-1.5731907
54.899913,-1.5657999
54.968291,-1.5973341
54.926655,-1.6679672
54.92532,-1.672706
54.925162,-1.6844098
54.93413,-1.680672
54.932709,-1.6839294
54.880585,-1.5712913
54.924602,-1.5901091
54.94781,-1.5810679
54.937098,-1.5968496
54.934131,-1.6778784
54.934971,-1.5515165
54.88038,-1.5743327
54.925032,-1.59218
54.949794,-1.5964728
54.936984,-1.5871426
54.933335,-1.6932103
54.933695,-1.5515619
54.926695,-1.597843
54.94787,-1.5906688
54.937475,-1.5913362
54.937565,-1.543387
54.882366,-1.5665963
54.926912,-1.5900076
54.947485,-1.5939668
54.936587,-1.6054234
54.892095,-1.5759086
54.939081,-1.587964
54.927871,-1.6001251
54.948892,-1.5928129
54.940758,-1.5441313
54.88323,-1.5747547
54.927911,-1.5958959
54.948643,-1.5960472
54.939014,-1.597564
54.938202,-1.5455182
54.883554,-1.572195
54.93997,-1.5903587
54.924919,-1.5987345
54.949885,-1.5781424
54.945343,-1.5374291
54.882767,-1.5631473
54.940379,-1.5973007
54.922313,-1.5879949
54.949475,-1.5898094
54.939807,-1.539756
54.926377,-1.6815916
54.926112,-1.6766941
54.970773,-1.7713267
54.924239,-1.5996462
54.95405,-1.6503315
54.937087,-1.5935096
54.969368,-1.7471387
54.932262,-1.5528107
54.899194,-1.5760056
54.924228,-1.5964009
54.947899,-1.5780383
54.948289,-1.5255456
54.969894,-1.7491505
54.970034,-1.7800159
54.970547,-1.7569099
54.944073,-1.640396
54.940469,-1.5838134
54.971862,-1.7534809
54.941602,-1.6436492
54.922561,-1.5791458
54.971856,-1.7643534
54.947358,-1.6451751
54.923426,-1.5773425
54.944996,-1.6426669
54.925173,-1.5705523
54.949013,-1.6396806
54.927123,-1.5656007
54.948051,-1.6486037
54.928105,-1.5712545
54.926268,-1.5727876
54.95497,-1.642438
54.92804,-1.5680251
54.969546,-1.7638671
54.956088,-1.6314037
54.958063,-1.6278252
54.954331,-1.6013772
54.957593,-1.6127133
54.965783,-1.605278
54.952822,-1.6423165
54.959696,-1.5853951
54.939114,-1.5845298
54.956995,-1.6282723
54.963092,-1.6096774
54.951243,-1.5342387
54.957768,-1.6433345
54.920628,-1.5894318
54.919053,-1.7838664
54.94525,-1.5228494
54.919913,-1.5958356
54.945414,-1.5326357
54.92272,-1.6024697
54.919287,-1.8226491
54.922347,-1.5847804
54.916325,-1.8194017
54.947626,-1.5305805
54.922083,-1.5946281
54.960098,-1.7162131
54.948664,-1.5340812
54.923097,-1.5833685
54.922406,-1.7652818
54.947807,-1.5218199
54.921169,-1.5981009
54.962529,-1.714275
54.951338,-1.53786
54.949129,-1.5311562
54.971193,-1.7748703
54.952562,-1.6846013
54.949198,-1.7360554
54.971233,-1.7323963
54.943284,-1.6695318
54.949611,-1.723906
54.940354,-1.6761897
54.949565,-1.7274972
54.956265,-1.5678787
54.975372,-1.7656452
54.953542,-1.6815332
