oa11cd,x,y,lat,lon
E00042732,425533.308,568350.679,55.00906,-1.6023048
E00042733,425352.905,568307.426,55.008683,-1.6051386
E00042730,424160.689,567008.434,54.997069,-1.6238849
E00042731,423957.874,567054.372,54.997492,-1.6270541
E00042738,425300.06,567952.206,55.005495,-1.6059828
E00042739,424127.556,567934.107,55.005392,-1.6243231
E00042076,421459.127,567703.058,55.003437,-1.6660519
E00042077,420967.663,567736.298,55.003755,-1.6737411
E00042074,421618.472,568147.258,55.00742,-1.6635329
E00042075,421540.373,567820.131,55.004485,-1.6647769
E00042072,421818.615,568249.803,55.008328,-1.6603982
E00042073,421728.397,568173.803,55.007649,-1.6618111
E00042070,420756.478,567867.098,55.004941,-1.6770303
E00042071,421053.695,567936.19,55.005548,-1.672382
E00042078,420774.349,567681.78,55.003269,-1.6767623
E00042079,420775.887,567545.733,55.002046,-1.6767565
E00042097,420891.584,567040.425,54.997504,-1.6749798
E00042096,421266.802,567346.97,55.000238,-1.6690955
E00042095,420958.14,567202.912,54.998957,-1.6739207
E00042094,421227.231,567453.706,55.001201,-1.6696973
E00042093,421078.768,567398.997,55.000713,-1.6720305
E00042092,421269.038,567622.778,55.002718,-1.6690282
E00042091,421135.906,566298.307,54.990826,-1.6712203
E00042090,421462.557,566289.459,54.990731,-1.6661105
E00042099,420827.379,566862.505,54.995907,-1.675993
E00042266,422148.2,564570.023,54.975254,-1.6555216
E00042267,422301.82,564527.388,54.974861,-1.6531347
E00042264,421846.851,564636.574,54.975861,-1.6602345
E00042265,422004.369,564599.756,54.975521,-1.657769
E00042262,422244.84,564265.768,54.972509,-1.6540454
E00042263,421671.706,564605.072,54.97559,-1.6629708
E00042260,419906.846,566409.152,54.991874,-1.6904199
E00042261,419380.821,566295.438,54.99087,-1.6986484
E00042268,421554.658,564617.309,54.975702,-1.6647977
E00042269,421966.623,564412.422,54.973842,-1.6583769
E00042256,419662.868,566446.334,54.992216,-1.6942308
E00042257,418559.371,566449.391,54.992285,-1.7114694
E00042254,418964.008,566511.245,54.992827,-1.7051356
E00042255,419796.046,566546.842,54.993109,-1.6921297
E00042252,420231.41,566537.808,54.993011,-1.6853316
E00042253,418194.845,566558.706,54.993278,-1.7171671
E00042250,418390.365,566583.66,54.993495,-1.7141022
E00042251,420040.117,566624.704,54.9938,-1.6883107
E00042259,418395.407,566300.136,54.990952,-1.7140421
E00042206,427109.076,567739.508,55.003487,-1.5777211
E00042287,423254.695,563969.83,54.969803,-1.6382918
E00042207,426220.972,568071.572,55.006517,-1.5915887
E00042286,422319.452,564009.098,54.970205,-1.6528936
E00042285,422865.015,563930.145,54.969471,-1.6443712
E00042284,423025.478,564034.093,54.970398,-1.6418637
E00042202,425870.427,567860.679,55.00464,-1.5970798
E00042283,422128.598,564083.793,54.970879,-1.6558714
E00042203,427331.276,567920.341,55.005101,-1.5742334
E00042282,423114.922,564266.094,54.972479,-1.6404548
E00042200,426871.82,568183.276,55.007489,-1.5814003
E00042281,422415.001,564088.867,54.970911,-1.6513879
E00042201,425750.884,568046.121,55.006317,-1.5989391
E00042280,422143.975,564230.18,54.972199,-1.6556258
E00042208,427595.238,567715.696,55.003244,-1.5701257
E00042289,423133.749,569026.066,55.015251,-1.6397754
E00042209,426362.867,567677.568,55.002969,-1.5894048
E00042288,423293.846,569036.845,55.015334,-1.6372725
E00042446,424982.223,566612.808,54.99347,-1.6110709
E00042447,425187.717,566668.617,54.993963,-1.607862
E00042444,425197.184,566763.454,54.994816,-1.6076973
E00042876,422342.075,565960.926,54.987736,-1.652383
E00042445,425752.682,566602.671,54.993341,-1.5990372
E00042877,423141.78,564703.669,54.976404,-1.639998
E00042442,425829.157,566043.442,54.988314,-1.5978839
E00042874,423034.788,564717.968,54.976535,-1.6416685
